published_date,article_urls,article_summary,article_headline,title,date
2018-05-15T18:37:13+0000,https://www.nytimes.com/2018/05/15/sports/basketball/warriors-rockets.html,"We want to see how great basketball minds not at the games see them. Here’s David Arseneault Jr., the men’s basketball coach at Grinnell College.",Come Watch the Warriors-Rockets Series With Us From an Expert’s Couch,warriors-rockets,2018-05-15
2018-05-15T09:00:09+0000,https://www.nytimes.com/2018/05/15/sports/nba-draft-lottery.html,The Suns are now on the clock for the first pick in the 2018 N.B.A. draft after winning the league’s annual draft lottery.,N.B.A. Draft Order Is Set With Phoenix Suns at No. 1,nba-draft-lottery,2018-05-15
2018-05-15T02:11:38+0000,https://www.nytimes.com/2018/05/14/sports/warriors-rockets-nba-playoffs.html,"Golden State got into some early foul trouble, but they fought back from a slow start and stole Game 1 of the Western Conference finals in Houston.",N.B.A. Playoffs: Warriors Cover Steve Kerr’s Bet in Game 1 Victory,warriors-rockets-nba-playoffs,2018-05-15
2018-05-14T14:06:33+0000,https://www.nytimes.com/2018/05/14/sports/basketball/boston-celtics-cleveland-cavaliers.html,"The Cleveland Cavaliers were rested. They were hot. And most important, they had LeBron James. So how did they lose?",Cavaliers and LeBron James Hit a Roadblock: Marcus Morris,boston-celtics-cleveland-cavaliers,2018-05-14
2018-05-13T23:00:54+0000,https://www.nytimes.com/2018/05/13/sports/celtics-cavs-lebron-james.html,"The Celtics took the floor to a video that began with the broadcast of Gordon Hayward’s injury. “Their season’s over,” Charles Barkley said at the time.",N.B.A. Playoffs: Celtics Stifle LeBron James and Pummel the Cavaliers in Game 1,celtics-cavs-lebron-james,2018-05-13
2018-05-13T22:14:40+0000,https://www.nytimes.com/2018/05/13/sports/warriors-rockets-western-conference-finals.html,"James Harden and Chris Paul led Houston to the No. 1 seeding in the West, but can Stephen Curry help Golden State rise again after the team’s injury-filled season?",N.B.A. Western Conference Finals Preview: Rockets vs. Warriors,warriors-rockets-western-conference-finals,2018-05-13
2018-05-13T21:41:05+0000,https://www.nytimes.com/2018/05/13/sports/basketball/jerry-west-just-wants-to-feel-wanted.html,"For his last act, can the N.B.A. legend have a hand in fixing the Clippers once and for all?",Jerry West Just Wants to Feel Wanted,jerry-west-just-wants-to-feel-wanted,2018-05-13
2018-05-13T19:29:04+0000,https://www.nytimes.com/2018/05/13/sports/cavs-celtics-eastern-conference-finals.html,Cleveland’s LeBron James has been to seven consecutive N.B.A. finals. Can Boston end his run and continue to thrive without two of its biggest stars?,N.B.A. Eastern Conference Finals Preview: Celtics vs. Cavaliers,cavs-celtics-eastern-conference-finals,2018-05-13
2018-05-11T16:05:23+0000,https://www.nytimes.com/2018/05/11/sports/basketball/dwane-casey-raptors-fired.html,"Casey led Toronto to the No. 1 seed in the Eastern Conference playoffs, but a second-round sweep by the Cleveland Cavaliers cost him his job.",Raptors Fire Dwane Casey Days After He Wins Coaching Honor,dwane-casey-raptors-fired,2018-05-11
2018-05-10T03:52:27+0000,https://www.nytimes.com/2018/05/09/sports/basketball/celtics-sixers-nba-playoffs.html,A hard-fought Game 5 pushed the Celtics past the Philadelphia 76ers. Boston will face the Cleveland Cavaliers for a shot at the N.B.A. finals.,N.B.A. Playoffs: Boston Celtics Punch Ticket to Conference Finals,celtics-sixers-nba-playoffs,2018-05-10
2018-05-09T12:55:26+0000,https://www.nytimes.com/2018/05/09/sports/nba-dwane-casey-raptors-coach-of-the-year.html,"The National Basketball Coaches Association has announced Casey as its 2017-18 coach of the year, two days after the Raptors were eliminated from the playoffs.",N.B.A. Coaches Pick Dwane Casey for Coach of the Year; Brad Stevens Gets No Votes,nba-dwane-casey-raptors-coach-of-the-year,2018-05-09
2018-05-09T04:52:54+0000,https://www.nytimes.com/2018/05/09/sports/warriors-rockets-nba-playoffs.html,"With easy wins over the Utah Jazz and the New Orleans Pelicans, Houston and Golden State will now face off to decide the West.",N.B.A. Playoffs: Rockets and Warriors Both Head to Conference Finals,warriors-rockets-nba-playoffs,2018-05-09
2018-05-08T16:51:13+0000,https://www.nytimes.com/2018/05/08/sports/basketball/toronto-raptors-lebron-james-cavs.html,They had the best record in the Eastern Conference and a new approach designed for playoff success. Enter LeBron James.,This Was Supposed to Be the Raptors’ Year. What Now?,toronto-raptors-lebron-james-cavs,2018-05-08
2018-05-08T03:25:30+0000,https://www.nytimes.com/2018/05/07/sports/lebron-james-cavaliers-raptors.html,"After a quiet first half, James put up another big game against the Toronto Raptors while securing the 12th playoff series sweep of his 15-year career.",LeBron James and the Cavaliers Earn Themselves Some Rest,lebron-james-cavaliers-raptors,2018-05-08
2018-05-08T03:23:44+0000,https://www.nytimes.com/2018/05/07/sports/basketball/sixers-celtics-nba-playoffs.html,"A surprise starter, McConnell scored a career-high 19 points as Philadelphia beat the Boston Celtics. Boston leads the series 3-1.",N.B.A. Playoffs: T.J. McConnell Helps 76ers Avoid Elimination,sixers-celtics-nba-playoffs,2018-05-08
2018-05-07T11:00:09+0000,https://www.nytimes.com/2018/05/07/sports/warriors-hamptons-five.html,"Golden State has typically reserved its best lineup for the end of games, but the rest of the league is on notice: The Hamptons Five is now starting.","To Dominate in New Orleans and Beyond, the Warriors Head to the Hamptons",warriors-hamptons-five,2018-05-07
2018-05-07T03:07:45+0000,https://www.nytimes.com/2018/05/06/sports/basketball/warriors-pelicans-nba-playoffs.html,The Golden State Warriors rolled to an easy win over the New Orleans Pelicans and the Houston Rockets beat the Utah Jazz.,"N.B.A. Playoffs: Kevin Durant Stops Worrying, and Can’t Stop Scoring",warriors-pelicans-nba-playoffs,2018-05-07
2018-05-06T22:28:04+0000,https://www.nytimes.com/2018/05/06/sports/al-horford-celtics-sixers.html,The Celtics forward put on a display of the myriad ways his experience helps as he guided a roster of young players to an overtime victory in Game 3.,Boston’s Al Horford Has Enough Experience for His Entire Team,al-horford-celtics-sixers,2018-05-06
2018-05-06T01:04:06+0000,https://www.nytimes.com/2018/05/05/sports/philadelphia-sixers-boston-celtics.html,"The Celtics took a 3-0 series lead against Philadelphia, which could not overcome two errant passes at key moments and a premature blast from a confetti cannon.","N.B.A. Playoffs: It All Goes Wrong for the Sixers, Including the Confetti",philadelphia-sixers-boston-celtics,2018-05-06
2018-05-05T16:05:05+0000,https://www.nytimes.com/2018/05/05/sports/wnba-los-angeles-sparks.html,Only 144 women will make the 12 W.N.B.A. rosters. Not all of the 36 players drafted each season in the three-round draft will even make a team.,Welcome to the W.N.B.A.: Good Luck Finding a Job,wnba-los-angeles-sparks,2018-05-05
2018-05-05T04:30:40+0000,https://www.nytimes.com/2018/05/05/sports/pelicans-warriors-playoffs.html,"Anthony Davis had 33 points, 18 rebounds and four steals for New Orleans.",Pelicans Take Down the Warriors in Game 3,pelicans-warriors-playoffs,2018-05-05
2018-05-04T22:38:32+0000,https://www.nytimes.com/2018/05/04/sports/nba-playoffs-celtics-.html,"Rozier, who replaced the injured Kyrie Irving, has outplayed 76ers guard Ben Simmons as Boston built a 2-0 lead in a conference semifinal series.","For the Celtics, a Matchup Between Terry Rozier and Ben Simmons Is Paying Off",nba-playoffs-celtics-,2018-05-04
2018-05-04T22:02:47+0000,https://www.nytimes.com/2018/05/04/sports/david-fizdale-knicks.html,"Another supposed savior is coming to Madison Square Garden, where James L. Dolan’s magic touch surely awaits.",David Fizdale Is Totally Going to Save the Knicks,david-fizdale-knicks,2018-05-04
2018-05-04T03:03:20+0000,https://www.nytimes.com/2018/05/03/sports/cavs-raptors-sixers-celtics-nba-playoffs.html,The Cavaliers forward delivered 43 points and 14 assists in an effort so dominant that Toronto was being called LeBronto online.,N.B.A. Playoffs: LeBron James and Cavaliers Tighten Grip on Raptors,cavs-raptors-sixers-celtics-nba-playoffs,2018-05-04
2018-05-03T22:37:27+0000,https://www.nytimes.com/2018/05/03/sports/david-fizdale-knicks.html,"Fizdale, 43, replaces Jeff Hornacek and takes over a team that has just one playoff series win in the last 18 years.",David Fizdale Is Said to Be Knicks’ Next Coach,david-fizdale-knicks,2018-05-03
2018-05-03T05:34:22+0000,https://www.nytimes.com/2018/05/03/sports/basketball/jazz-rockets-nba-playoffs.html,"An early lead faded away, but Utah regrouped and walked away with a win in Game 2 against Houston, which had the best record in the N.B.A. this season.",N.B.A. Playoffs: Jazz Steal a Win on the Road Over Rockets,jazz-rockets-nba-playoffs,2018-05-03
2018-05-02T13:50:56+0000,https://www.nytimes.com/2018/05/02/sports/basketball/cleveland-cavaliers-golden-state-warriors-nba-playoffs.html,This was supposed to be the year that time ran out for the Warriors and Cavaliers. But a fourth straight Final between them suddenly looks a lot more likely.,Cavaliers and Warriors Take Big Steps to Another Rematch,cleveland-cavaliers-golden-state-warriors-nba-playoffs,2018-05-02
2018-05-02T04:28:42+0000,https://www.nytimes.com/2018/05/02/sports/basketball/cavs-raptors-nba-playoffs.html,"Cleveland never led during regulation, but a big comeback, and some luck in overtime help push them to a win over Toronto in Game 1 of their playoff series.",N.B.A. Playoffs: Cavs Come Back to Beat Raptors in Overtime,cavs-raptors-nba-playoffs,2018-05-02
2018-05-01T21:24:22+0000,https://www.nytimes.com/2018/05/01/sports/golden-state-warriors-stephen-curry-pelicans.html,"The Warriors are now 6-1 in these N.B.A. playoffs, and they just got back the two-time M.V.P., who had been out since March 23 with a knee sprain.",Stephen Curry’s Return Boosts Warriors to Win Over Pelicans,golden-state-warriors-stephen-curry-pelicans,2018-05-01
2018-05-01T04:57:26+0000,https://www.nytimes.com/2018/05/01/sports/rusty-sixers-lose-to-celtics-in-game-1.html,"Philadelphia was out of rhythm after several days rest since winning in the first round. The Celtics, fresh off a first-round Game 7 victory, scored big from behind the arch.",N.B.A. Playoffs: Rusty Sixers Lose to Celtics in Game 1,rusty-sixers-lose-to-celtics-in-game-1,2018-05-01
2018-04-30T22:22:44+0000,https://www.nytimes.com/2018/04/30/style/don-nelson-nba-weed.html,"The Hall of Fame legend, now 77 and living in Maui, muses about retirement, getting stoned with Willie Nelson, and growing his own strand called “Nellie Kush.”","Retired N.B.A. Coach Don Nelson Talks Playoffs, Poker and, Uh, Weed ",don-nelson-nba-weed,2018-04-30
2018-04-30T04:01:01+0000,https://www.nytimes.com/2018/04/30/sports/nba-referees-swearing.html,"With the influx of international players has come a milieu of swearing on the court in many languages, confounding referees who are often the target.",A Polyglot N.B.A. Swears by One Thing: That Call Was #@!&,nba-referees-swearing,2018-04-30
2018-04-30T02:27:03+0000,https://www.nytimes.com/2018/04/29/sports/basketball/nba-playoffs-rockets-jazz.html,It was an easy victory for Houston in Game 1 of their semifinal series against Utah. Game 2 will be Wednesday.,James Harden’s 41 Points Lead Rockets Over Jazz,nba-playoffs-rockets-jazz,2018-04-30
2018-04-30T01:41:52+0000,https://www.nytimes.com/2018/04/29/sports/lebron-james-cavaliers.html,"It had been rough for the Cleveland Cavaliers’ supporting cast, but in a key stretch late in Game 7, the non-LeBrons likely saved the series.","‘King’ James Briefly Sat, and His Subjects Carried the Load",lebron-james-cavaliers,2018-04-30
2018-04-29T06:34:58+0000,https://www.nytimes.com/2018/04/29/sports/basketball/golden-state-warriors-playoffs-pelicans.html,"Curry, who has been out since March 23, is expected to return to action on Tuesday.","Still Without Stephen Curry, the Warriors Roll Over the Pelicans in Game 1",golden-state-warriors-playoffs-pelicans,2018-04-29
2018-04-29T04:15:57+0000,https://www.nytimes.com/2018/04/29/sports/basketball/boston-celtics-eliminate-milwaukee-bucks-in-nba-playoffs.html,"Boston will meet the Philadelphia 76ers in the Eastern Conference semifinals, starting Monday in Boston.","With Attitude and Home-Court Edge, Celtics Eliminate Bucks",boston-celtics-eliminate-milwaukee-bucks-in-nba-playoffs,2018-04-29
2018-04-28T03:32:20+0000,https://www.nytimes.com/2018/04/27/sports/cavaliers-pacers-nba-playoffs.html,"The Raptors advanced to the Eastern Conference semifinals, and the Cavaliers were blown out by the Pacers in Indianapolis.","Raptors Eliminate the Wizards, and the Cavaliers Are Pushed to a Game 7",cavaliers-pacers-nba-playoffs,2018-04-28
2018-04-27T15:14:04+0000,https://www.nytimes.com/2018/04/27/sports/basketball/rajon-rondo-pelicans.html,"There is plenty of evidence that Rajon Rondo ramps up the intensity when the regular season ends, but the New Orleans Pelicans’ guard isn’t buying it.",‘Playoff Rondo’ Politely (Not Really) Requests a New Nickname,rajon-rondo-pelicans,2018-04-27
2018-04-27T04:10:40+0000,https://www.nytimes.com/2018/04/27/sports/basketball/bucks-celtics-giannis-antetokounmpo.html,Antetokounmpo had 31 points and 14 rebounds as Milwaukee defeated visiting Boston to send their first-round series to a decisive final game.,Giannis Antetokounmpo’s Big Night Helps Bucks Force Game 7,bucks-celtics-giannis-antetokounmpo,2018-04-27
2018-04-26T23:14:33+0000,https://www.nytimes.com/2018/04/26/sports/lebron-james-shot.html,"The buzzer-beaters, 29 years apart, have striking similarities. Just ask two players instrumental in the original play who witnessed the eerie echo.",LeBron James and Michael Jordan Now Have Another Thing in Common: The Shot,lebron-james-shot,2018-04-26
2018-04-26T04:10:17+0000,https://www.nytimes.com/2018/04/26/sports/basketball/nba-playoffs-lebron-james-cavaliers.html,"A last-second 3-pointer, immediately preceded by a clutch blocked shot, gave the Cleveland Cavaliers a 3-2 lead in their series with the Indiana Pacers.",LeBron James’s Buzzer Beater Provides Yet Another Signature Moment,nba-playoffs-lebron-james-cavaliers,2018-04-26
2018-04-25T06:50:05+0000,https://www.nytimes.com/2018/04/25/sports/ncaa-condoleezza-rice.html,Condoleezza Rice and her commission have ideas for cleaning up college basketball. But they don’t challenge the longtime requirement that the players be amateurs.,"N.C.A.A. Panel Proposes Reforms, Including End to ‘One and Done’",ncaa-condoleezza-rice,2018-04-25
2018-04-25T04:42:09+0000,https://www.nytimes.com/2018/04/25/sports/basketball/nba-playoffs-76ers-heat-celtics-bucks.html,"Philadelphia, bolstered by Meek Mill’s appearance, rolled to an easy victory over the Miami Heat. The Celtics lead their series against Milwaukee, 3-2.",76ers Advance as Celtics Have Bucks on Brink of Elimination,nba-playoffs-76ers-heat-celtics-bucks,2018-04-25
2018-04-24T23:21:40+0000,https://www.nytimes.com/2018/04/24/sports/lebron-james-cavaliers.html,"“You feel like he just keeps getting better,” says an opposing coach. But the Cavaliers and Pacers are still tied 2-2 in the playoffs’ first round.",LeBron James Is a One-Man Show. Sometimes That Is the Problem.,lebron-james-cavaliers,2018-04-24
2018-04-24T21:29:05+0000,https://www.nytimes.com/2018/04/24/arts/music/meek-mill-released.html,Prosecutors had said the rapper’s conviction should be vacated because of questions about the credibility of the arresting officer.,Meek Mill Is Released From Prison on Bail,meek-mill-released,2018-04-24
2018-04-24T12:05:37+0000,https://www.nytimes.com/2018/04/24/sports/nba-playoffs-westbrook-rubio.html,"As the action on the court heats up, the league’s best shed the clichés and commit to verbal sparring.",N.B.A. Stars Talk a Good Game in the Playoffs,nba-playoffs-westbrook-rubio,2018-04-24
2018-04-24T05:37:56+0000,https://www.nytimes.com/2018/04/24/sports/rockets-timberwolves.html,The Rockets turned a 50-49 halftime lead into a 31-point advantage with a blistering quarter and took a 3-1 series lead.,"With 50-Point Quarter, Rockets Rout the Timberwolves",rockets-timberwolves,2018-04-24
2018-04-22T23:57:23+0000,https://www.nytimes.com/2018/04/22/sports/jimmy-butler-minnesota-timberwolves.html,"Butler, who grew up 30 minutes outside of Houston, admitted he felt some extra satisfaction in beating the Rockets, his boyhood team, in Game 3.",Timberwolves’ Jimmy Butler Rekindles Playoff Fire in Minnesota,jimmy-butler-minnesota-timberwolves,2018-04-22
2018-04-21T22:03:40+0000,https://www.nytimes.com/2018/04/21/sports/nba-playoffs-76ers-heat-rockets.html,"Ben Simmons had a triple-double as Philadelphia moved a victory away from the second round. Also, Minnesota got its first postseason win in 14 years, and New Orleans eliminated Portland.",76ers Top Heat to Take a 3-1 Series Lead,nba-playoffs-76ers-heat-rockets,2018-04-21
2018-04-21T03:01:50+0000,https://www.nytimes.com/2018/04/20/sports/nba-playoffs-pacers-cavaliers.html,Cleveland lost for the first time this season after leading at the end of the third quarter.,Pacers Rally to Take a Series Lead Over the Cavaliers,nba-playoffs-pacers-cavaliers,2018-04-21
2018-04-20T22:59:53+0000,https://www.nytimes.com/2018/04/20/style/cleveland-cavaliers-lebron-james-thom-browne-.html,"Arena arrivals have long been a fashion runway for N.B.A. superstars. But before a playoff game on Friday, the Cleveland Cavaliers took things to a new level, wearing coordinated ensembles by the designer Thom Browne.","In the N.B.A., a Game of Clothes Horse",cleveland-cavaliers-lebron-james-thom-browne-,2018-04-20
2018-04-20T13:31:49+0000,https://www.nytimes.com/2018/04/20/sports/basketball/golden-state-warriors-nba-playoffs.html,"Even without Stephen Curry, the Warriors are looking like potential champions again.",The Golden State Warriors Have Shaken Off the Rust,golden-state-warriors-nba-playoffs,2018-04-20
2018-04-20T04:16:48+0000,https://www.nytimes.com/2018/04/20/sports/basketball/76ers-heat-pelicans-trail-blazers.html,"Philadelphia’s center, playing in his first playoff game, had 23 points. In other action, the Warriors and Pelicans both opened up 3-0 leads.",Masked Joel Embiid Leads 76ers to Easy Win Over Heat,76ers-heat-pelicans-trail-blazers,2018-04-20
2018-04-19T20:54:05+0000,https://www.nytimes.com/2018/04/19/obituaries/daedra-charles-university-of-tennessee-basketball-star-dies-at-49.html,"With Charles, the Lady Vols won two national championships under coach Pat Summitt. She went on to play on the Olympic team and in the pros.","Daedra Charles, 49, Hall of Fame Center for Tennessee, Dies",daedra-charles-university-of-tennessee-basketball-star-dies-at-49,2018-04-19
2018-04-19T13:06:22+0000,https://www.nytimes.com/2018/04/19/sports/basketball/gregg-popovich-wife-spurs.html,"An assistant coach, Ettore Messina, led the team on Thursday in Popovich’s absence. LeBron James, Kevin Durant and others paid tribute to Erin Popovich.",Gregg Popovich Is Absent for Game 3 After Wife’s Death,gregg-popovich-wife-spurs,2018-04-19
2018-04-19T03:58:48+0000,https://www.nytimes.com/2018/04/18/sports/basketball/cavaliers-pacers-jazz-thunder.html,"Cleveland is now tied 1-1 in the team’s first-round series with Indiana, while Utah also pulled even in their series with Oklahoma City.",LeBron James Almost Single-Handedly Powers Cavaliers to Win,cavaliers-pacers-jazz-thunder,2018-04-19
2018-04-18T21:43:06+0000,https://www.nytimes.com/2018/04/18/sports/trail-blazers-raptors.html,"Portland had the fewest assists of any team in the regular season, but its one-on-one style of play is hindering them as the playoffs bring tougher defenses.","Trail Blazers Shun the Pass, and It Costs Them in the Playoffs",trail-blazers-raptors,2018-04-18
2018-04-18T04:17:53+0000,https://www.nytimes.com/2018/04/18/sports/basketball/nba-playoffs-raptors-wizards-celtics-bucks.html,Toronto won the first two games of a playoff series for the first time in franchise history and Boston’s Jaylen Brown scored 30 points against Milwaukee.,Raptors and Celtics Both Cruise to 2-0 Series Leads,nba-playoffs-raptors-wizards-celtics-bucks,2018-04-18
2018-04-17T22:12:12+0000,https://www.nytimes.com/2018/04/17/sports/heat-sixers-dwyane-wade.html,"At this point in his career, Wade isn’t picking up new tricks. Still, he’s finding new ways to use what he knows and dominating the N.B.A.’s hottest team.","Throwing it Back, Miami’s Dwyane Wade Takes the 76ers to School",heat-sixers-dwyane-wade,2018-04-17
2018-04-17T15:59:04+0000,https://www.nytimes.com/2018/04/17/sports/basketball/g-league-salaries-increase.html,"The N.B.A., which covers salaries in its developmental league, plans to pay G League players $35,000 in addition to housing and insurance benefits for the five-month regular season.",Big Pay Raises Coming for G League Players,g-league-salaries-increase,2018-04-17
2018-04-17T04:29:10+0000,https://www.nytimes.com/2018/04/17/sports/nba-playoffs-heat-76ers-warriors-spurs.html,Philadelphia’s 17-game winning streak came to a halt thanks to Wade rediscovering the magic that eluded him during stints with Chicago and Cleveland.,Vintage Dwyane Wade Propels Heat Past Streaking 76ers,nba-playoffs-heat-76ers-warriors-spurs,2018-04-17
2018-04-16T15:46:02+0000,https://www.nytimes.com/2018/04/16/obituaries/hal-greer-hall-of-fame-jump-shooter-for-76ers-is-dead-at-81.html,"In the era of Oscar Robertson and Jerry West, Greer was a brilliant and prolific star guard in his own right, leading Philadelphia to the 1967 title.","Hal Greer, Hall of Fame Jump Shooter for 76ers, Is Dead at 81",hal-greer-hall-of-fame-jump-shooter-for-76ers-is-dead-at-81,2018-04-16
2018-04-15T04:08:04+0000,https://www.nytimes.com/2018/04/15/sports/indiana-pacers-nba.html,They are the surprise team in the NBA playoffs. Two newcomers may be the key to success — and a training coach who put on pads to rough players up a little.,"If Anybody Beats the Pacers, It Might Be an Assistant Coach",indiana-pacers-nba,2018-04-15
2018-04-14T22:22:32+0000,https://www.nytimes.com/2018/04/14/sports/nba-playoffs-warriors-spurs.html,"Golden State picked up its defense and beat San Antonio, 113-92, on Saturday in the N.B.A. playoffs. In other games, Philadelphia romped and Toronto ended a losing streak.",Warriors Shake Off Their Late-Season Stumbles and Thrash the Spurs in Game 1,nba-playoffs-warriors-spurs,2018-04-14
